,number,value,datetime_start,datetime_complete,params_activation_1,params_activation_10,params_activation_2,params_activation_3,params_activation_4,params_activation_5,params_activation_6,params_activation_7,params_activation_8,params_activation_9,params_dropout_10,params_dropout_2,params_dropout_3,params_dropout_4,params_dropout_5,params_dropout_6,params_dropout_7,params_dropout_8,params_dropout_9,params_layer_1,params_learning_rate,params_num_layers,params_units_10,params_units_2,params_units_3,params_units_4,params_units_5,params_units_6,params_units_7,params_units_8,params_units_9,state
27,27,0.9095584750175476,2020-06-18 18:01:05.062380,2020-06-18 18:05:00.611105,selu,,relu,selu,selu,selu,elu,,,,,0.38697104940104454,0.05512659409866716,0.11680260784826504,0.3920207292537427,0.022132045232442027,,,,512,0.0003437299640458971,6,,128,256.0,128.0,128.0,512.0,,,,COMPLETE
28,28,0.9242516756057739,2020-06-18 18:05:00.620910,2020-06-18 18:09:33.739566,selu,elu,relu,selu,linear,selu,elu,elu,elu,selu,0.2117055615952893,0.4732122428708659,0.21815370708530504,0.060925502423988386,0.27610967683831594,0.13030688614875427,0.1612189163976118,0.35496715315162186,0.46646766639707216,512,8.081608054628396e-05,10,256.0,128,512.0,128.0,128.0,512.0,512.0,256.0,256.0,COMPLETE
29,29,0.9119431376457214,2020-06-18 18:09:33.750091,2020-06-18 18:13:47.200858,elu,,linear,selu,linear,selu,elu,linear,relu,,,0.4200368387087498,0.3104138871123008,0.19496637718832935,0.21418801804243942,0.16160986362527113,0.2696231880578228,0.13732764551866,,128,2.0692839958586556e-05,8,,128,256.0,256.0,128.0,512.0,512.0,256.0,,COMPLETE
30,30,0.8931090235710144,2020-06-18 18:13:47.211906,2020-06-18 18:17:44.467781,relu,,relu,selu,selu,relu,elu,,,,,0.46804823884515234,0.12425685920123494,0.026838797628031284,0.49797128727259776,0.10326207459113276,,,,512,0.0014015667816776145,6,,128,128.0,128.0,128.0,512.0,,,,COMPLETE
31,31,0.9230022430419922,2020-06-18 18:17:44.518852,2020-06-18 18:21:50.530522,selu,,relu,selu,linear,selu,elu,elu,,,,0.24871772597148492,0.35196293659626143,0.10465145924329688,0.29426040956125454,0.22523860763446366,0.3641866938426298,,,512,1.8290255682580674e-05,7,,128,256.0,256.0,256.0,512.0,128.0,,,COMPLETE
32,32,0.9344080090522766,2020-06-18 18:21:50.541965,2020-06-18 18:25:57.699878,selu,,relu,elu,selu,selu,elu,elu,,,,0.3315697347345914,0.2815452504326415,0.23834607551803477,0.3710614597943599,0.05329078784488486,0.4510969536574079,,,512,1.1153523840546586e-05,7,,128,256.0,256.0,128.0,512.0,512.0,,,COMPLETE
33,33,0.9195396900177002,2020-06-18 18:25:57.711421,2020-06-18 18:29:52.268660,selu,,selu,elu,linear,selu,elu,,,,,0.37621521724886353,0.2873712364187326,0.3000002772166669,0.37258612572591787,0.020274040729055733,,,,512,3.1386699476843425e-05,6,,128,256.0,128.0,128.0,512.0,,,,COMPLETE
34,34,0.9240914583206177,2020-06-18 18:29:52.280241,2020-06-18 18:33:40.460954,selu,,relu,elu,selu,selu,,,,,,0.4261037225154335,0.2386160896772604,0.23577360363530858,0.4979864019857625,,,,,128,5.187825026660449e-05,5,,128,256.0,256.0,128.0,,,,,COMPLETE
35,35,0.9344732761383057,2020-06-18 18:33:40.472861,2020-06-18 18:37:56.277870,elu,,relu,selu,selu,selu,elu,elu,elu,,,0.41717855407410376,0.3360791882375146,0.1691259856590061,0.17887513913423445,0.05316099389751808,0.44657230830166406,0.3425665692925445,,512,1.1806378579699951e-05,8,,128,256.0,256.0,128.0,512.0,512.0,256.0,,COMPLETE
36,36,0.5,2020-06-18 18:37:56.290077,2020-06-18 18:42:20.681589,elu,,relu,selu,selu,selu,elu,elu,elu,relu,,0.42260088976938376,0.3820424202175948,0.33483902079714,0.1657126875206432,0.3065540525456895,0.437319939676302,0.34296718303054213,0.2651027855715228,512,0.08577517840001682,9,,128,256.0,256.0,128.0,512.0,512.0,256.0,512.0,COMPLETE
