A2A,A1,hERG
0.57797444,0.5722783,0.38579226
0.6392116,0.6719741,0.3103277
0.6277187,0.80021256,0.22593349
0.56509715,0.6129913,0.22974992
0.5872742,0.67152154,0.33789372
0.83510673,0.665795,0.44641262
0.8416439,0.92666763,0.3544066
0.59607035,0.6507753,0.3667841
0.55456084,0.5874629,0.21161175
0.59338325,0.60270184,0.3907948
0.53093636,0.53917503,0.18995273
0.5687272,0.4978971,0.3246596
0.69386876,0.6914353,0.43390155
0.64151984,0.6540432,0.22395164
0.69290525,0.6414185,0.3406698
0.7833532,0.73450637,0.31561363
0.5874742,0.5525748,0.4499644
0.97841424,0.8174988,0.37243217
0.580293,0.69353783,0.23511696
0.68864715,0.68348014,0.27589035
0.69111884,0.7192357,0.32564557
0.5800015,0.5667611,0.33336973
0.65729266,0.72404164,0.3411975
0.6448917,0.6505968,0.34342748
0.48127487,0.4867314,0.39684874
0.48144522,0.487664,0.37974286
0.48405153,0.47981387,0.32604498
0.56078076,0.6192541,0.22623688
0.5620232,0.56775075,0.33122241
0.49363163,0.5011875,0.20730788
0.6660875,0.687102,0.36862344
0.5938586,0.63750064,0.2967329
0.5836479,0.58923423,0.2872752
0.6825258,0.619922,0.2599656
0.6864923,0.7885868,0.28149307
0.6168075,0.59178716,0.33106673
0.5528855,0.57850945,0.1630441
0.6933286,0.7222068,0.3868634
0.5973464,0.6511373,0.32551342
0.47492638,0.4799318,0.44224483
0.48195186,0.49895445,0.40106624
0.6105374,0.6632688,0.33443135
0.50302523,0.5761714,0.21783066
0.5205635,0.51171356,0.21583116
0.59142274,0.63738954,0.3227859
0.5068235,0.54864144,0.39701104
0.56184554,0.7002433,0.4016499
0.5700672,0.56457496,0.22786087
0.6673394,0.6842257,0.29918754
0.47263777,0.52815014,0.40487474
0.6087591,0.67624086,0.25730217
0.5631819,0.59429497,0.31760514
0.53733075,0.5523874,0.319624
0.62950736,0.60456353,0.22659862
0.5721015,0.66035503,0.37378347
0.6383583,0.9488944,0.40083545
0.67291063,0.63030636,0.33689952
0.6239534,0.65422255,0.44026357
0.5910036,0.63009137,0.27171558
0.8093119,0.8222988,0.29293382
0.4987714,0.49391854,0.39408654
0.6174411,0.6569512,0.40802473
0.65171725,0.65248495,0.28391773
0.5433731,0.62048864,0.329652
0.68135476,0.74135214,0.30477017
0.5858871,0.56872314,0.26454931
0.69473124,0.8075132,0.4466595
0.4900751,0.4839979,0.27427536
0.5951099,0.6320213,0.29632825
0.60508806,0.6723475,0.36679697
0.62547845,0.6277247,0.42792028
0.60124785,0.61050093,0.35898072
0.64278567,0.62568194,0.2730363
0.6966763,0.69628924,0.314511
0.53979194,0.579258,0.23734224
0.6086645,0.54690236,0.27662075
0.6246525,0.8242099,0.29343468
0.6103622,0.6448352,0.36826265
0.6288225,0.64881957,0.40083587
0.5453301,0.5104152,0.21929723
0.5799941,0.6575793,0.30944443
0.6880506,0.6237389,0.34874225
0.5535406,0.57669884,0.28076482
0.59615433,0.5889285,0.25036228
0.4709091,0.4955633,0.30282336
0.64005345,0.62622476,0.26750886
0.49863967,0.5664715,0.393973
0.57311666,0.7888747,0.28194058
0.6642103,0.6400179,0.26720405
0.8131712,0.5380901,0.29690742
0.5461599,0.5677955,0.39027947
0.49443075,0.5144482,0.28378004
0.9166779,0.65858865,0.27479303
0.48559198,0.5040668,0.3080703
0.5265166,0.587925,0.2562331
0.56942123,0.63753974,0.33036965
0.63840765,0.77113944,0.4060548
0.5999605,0.86596304,0.2103324
0.6328191,0.5025366,0.40911907
0.7070465,0.65868336,0.24547714
0.5400619,0.6070144,0.26574284
0.5012032,0.5816118,0.22523904
0.6146812,0.6402539,0.34921014
0.84703803,0.6950376,0.32508194
0.49411285,0.5534858,0.35543054
0.4722205,0.48305932,0.24314916
0.4778162,0.5749579,0.21500689
0.56690055,0.6244775,0.27341813
0.5667542,0.6528572,0.309727
0.835539,0.79052776,0.37350094
0.6561051,0.60100716,0.3312518
0.4872536,0.56418216,0.25236386
0.6370356,0.6246676,0.3212213
0.47197258,0.602603,0.36869365
0.6159636,0.590001,0.27840596
0.7163365,0.65387666,0.38261932
0.530002,0.6176032,0.25706488
0.6162007,0.6214482,0.36996937
0.75743085,0.86119556,0.25848
0.5521873,0.560328,0.24280655
0.62435496,0.6877965,0.3369676
0.48688897,0.51978457,0.34384602
0.52905566,0.51116097,0.44579643
0.51998794,0.5080981,0.34132493
0.45371136,0.46410125,0.41565847
0.6980535,0.65795547,0.3346777
0.61485726,0.7440655,0.2690974
0.89287764,0.7224279,0.40009058
0.55822545,0.6139778,0.43149203
0.61628276,0.6955418,0.3036129
0.62848645,0.6467496,0.2878533
0.6062667,0.6785607,0.29706413
0.6231374,0.6570026,0.35294795
0.8636404,0.90185523,0.28905773
0.90093553,0.8180178,0.37768102
0.6516461,0.617013,0.31015486
0.5696754,0.664775,0.28861207
0.56076735,0.71442604,0.40492952
0.54270136,0.49585095,0.32698
0.5120361,0.49356702,0.24715751
0.6250111,0.70679265,0.28314108
0.45383862,0.46788058,0.43471128
1.0,0.69322455,0.3537714
0.47986907,0.48033002,0.32782233
0.6216159,0.6407433,0.30949914
0.5161394,0.5986306,0.22538513
0.45738447,0.48316,0.1233235
0.6597625,0.63030887,0.2445277
0.706717,0.8427817,0.25613743
0.682996,0.73987556,0.28464794
0.61893857,0.59324336,0.31044942
0.5429889,0.5971607,0.23605353
0.98702615,0.80106217,0.3582958
0.5805204,0.5831133,0.35377795
0.49892333,0.4914186,0.2722969
0.8451911,0.742183,0.32082582
0.57187986,0.5376031,0.42709863
0.6227474,0.5652486,0.32270825
0.66094506,0.7143166,0.22705388
0.6443517,0.63842297,0.27570325
0.5206248,0.50203913,0.26137936
0.6197327,0.70153826,0.26697737
0.46662557,0.4986994,0.21771151
0.6654743,0.7236059,0.3320796
