A2A,A1,hERG
0.6774463,0.6709727,0.27411354
0.72694314,0.8208759,0.30043113
0.67631567,0.69430095,0.2785349
0.77634394,0.69957834,0.2156648
0.8471343,0.8201304,0.3339901
0.7185246,0.7195617,0.3148741
0.768704,0.7435688,0.38922113
0.8951053,0.80356085,0.32309693
0.72842014,0.6491772,0.32722467
0.72933775,0.8249841,0.2582528
0.77414525,0.75209326,0.2735433
0.6946863,0.7057892,0.27588874
0.8991176,0.75680995,0.259336
0.72154844,0.8012581,0.32515675
0.6007214,0.61114043,0.37290192
0.68288875,0.7378143,0.23742974
0.9136409,0.79447824,0.30643165
0.71626276,0.7830744,0.344136
0.5901801,0.6342527,0.28251493
0.89783126,0.8092655,0.2707309
0.5579709,0.64782935,0.32473266
0.69040644,0.67353374,0.25915098
0.7707585,0.85102034,0.35249573
0.8329792,0.7307521,0.21952438
0.79623693,0.7712422,0.19914609
0.76673615,0.8679021,0.29213285
0.5034715,0.48259184,0.30615097
0.76968503,0.8237717,0.30248427
0.8261968,0.82075584,0.31153864
0.8047636,0.8904098,0.31204867
0.7797966,0.725948,0.24518585
0.53690803,0.7536114,0.43420434
0.74234366,0.672712,0.2636795
0.48818794,0.50239307,0.2988751
0.8720438,0.81337714,0.3089447
0.72327423,0.8567817,0.2909181
0.78434306,0.69361407,0.35848707
0.7187032,0.7747616,0.34151095
0.7360876,0.8188922,0.33316994
0.72092676,0.6722344,0.2790659
0.90093553,0.8180178,0.37768102
0.52172786,0.63785195,0.32230747
0.7193053,0.7418007,0.37256342
0.7235685,0.7198801,0.41290742
1.0,0.93666273,0.271815
0.72491324,0.60436624,0.24663472
0.6200071,0.7253747,0.40113688
0.81737137,0.9649473,0.31461447
0.7120313,0.73859906,0.39030743
0.5852851,0.6041107,0.3008241
0.4993229,0.5428306,0.27600288
0.66795915,0.8106891,0.40041637
0.65291375,0.68764246,0.25225437
0.6035543,0.6138996,0.39000833
0.9984142,0.93840575,0.2931378
0.7375005,0.68875825,0.32267118
0.5658118,0.61306846,0.31892973
0.78101695,0.83826566,0.3048368
0.6500724,0.76312953,0.23055774
0.79192215,0.8428232,0.27644777
0.69558567,0.6686614,0.32051182
0.7429803,0.6428785,0.3824653
0.5477396,0.58709943,0.40588945
0.7220259,0.7359705,0.28794295
0.47310683,0.5193492,0.39001393
0.68844926,0.7104318,0.35868192
0.8345161,0.81112194,0.40796053
0.7130952,0.70177364,0.2519642
0.5552423,0.589313,0.28395504
0.619705,0.7508707,0.3752861
0.56894535,0.53104806,0.35042924
0.5674371,0.60312414,0.31170577
0.9057532,0.9365564,0.35731947
0.60613257,0.6189232,0.3761338
0.7026648,0.7170607,0.380872
0.6342228,0.74761564,0.3633061
0.59245145,0.5868704,0.34903848
0.6123534,0.5955498,0.35949737
0.5507187,0.61471623,0.37988436
0.74671125,0.79961723,0.40786713
0.96234787,0.9335238,0.27933663
0.7311903,0.776181,0.3589217
0.7195228,0.7862015,0.41794842
0.51659995,0.50482124,0.261661
0.5502673,0.5926379,0.30964828
0.5374494,0.53608763,0.22078127
0.9055509,0.88539463,0.2874027
0.7878877,0.7872237,0.30252117
0.8437538,0.7185422,0.29057854
0.8441008,0.8513908,0.2557541
0.77091753,0.8269027,0.44546264
0.76415825,0.75928205,0.30647284
0.47533792,0.49695152,0.40685713
0.6871256,0.71280175,0.28738266
0.6061271,0.7122913,0.24257296
0.4725557,0.49025738,0.34315866
0.75994456,0.7183121,0.3054778
0.5496043,0.61089677,0.4011364
0.8177725,0.76309675,0.2839855
0.71938276,0.82179976,0.31725973
0.69921845,0.72083855,0.3262878
0.8864075,0.8425023,0.25041842
0.8537601,0.78601307,0.2923286
0.69176763,0.6664785,0.3169127
0.7487662,0.79422134,0.3133427
0.608049,0.7182001,0.37916422
0.6200777,0.94495416,0.3757891
0.63436455,0.6856349,0.31898868
0.7287301,0.6618102,0.24134976
0.76050985,0.817304,0.26653796
0.7757256,0.89515096,0.25313365
0.9646254,0.9401872,0.29129076
0.6097359,0.9126889,0.3983307
0.75527227,0.8774698,0.28727984
0.6325701,0.64525884,0.315148
0.5955911,0.6763674,0.2450996
0.73401946,0.8505739,0.3219399
0.65505123,0.6468461,0.27190495
0.75979763,0.75834596,0.37189567
0.7055066,0.6750367,0.23729855
0.7966295,0.7745061,0.32447255
0.7029665,0.70599234,0.39902145
0.7877077,0.72872007,0.3905148
0.78592956,0.7015623,0.33312398
0.77549845,0.69459033,0.25760752
0.86196613,0.88503736,0.2634853
0.6458263,0.6492631,0.29208076
0.88934416,0.7973908,0.333144
0.7330769,0.7176311,0.32961047
0.70787024,0.7342917,0.39775676
0.5364667,0.6218888,0.29359967
0.58593696,0.68234146,0.3895765
0.6870394,0.6778463,0.2785241
1.0,0.7973107,0.2630996
0.80963993,0.7757791,0.31706834
0.78034127,0.8330897,0.33675444
0.61699206,0.61507624,0.37635523
0.778232,0.8381238,0.26043117
0.7455885,0.64217883,0.2777987
0.66901463,0.73534584,0.2719376
0.48011038,0.5769924,0.31022358
0.76939297,0.8153716,0.39384222
0.4603284,0.48046792,0.39803606
0.69365513,0.72551507,0.34729165
0.7843517,0.8985765,0.32059187
0.804062,0.70413256,0.2745452
0.78983617,0.7759872,0.34612012
0.71628445,0.6897239,0.22950792
0.7488828,0.8391268,0.2689588
0.63477474,0.79614407,0.37250668
0.6606114,0.71410197,0.32710218
0.73927104,0.8214577,0.25717366
0.5442192,0.6041042,0.21444488
0.57798076,0.48687202,0.33904654
0.71649504,0.7892981,0.26607513
0.6097819,0.6240591,0.31065488
0.7959321,0.71547145,0.37452322
0.51828486,0.53452,0.28452224
0.5863864,0.72570574,0.2023412
1.0,0.9510854,0.30315006
0.6641445,0.8174982,0.26150972
0.73108864,0.7608103,0.25714636
0.7977154,0.7633079,0.32507503
0.5595445,0.5596997,0.21950155
0.8017612,0.70511335,0.3387215
0.8707727,0.89359415,0.16507894
0.7782165,0.7958506,0.2839663
0.72376287,0.7336849,0.33285886
0.77516586,0.8926983,0.2885244
0.7936414,0.9136887,0.24663818
0.7524657,0.76453775,0.27651644
0.8207104,0.80252576,0.28432685
0.8559509,0.66145164,0.31481284
0.78150433,0.76026976,0.39821357
1.0,0.9327139,0.26848894
0.58298016,0.69188404,0.31178898
0.6930291,0.763872,0.3499974
0.750079,0.6449854,0.2775011
0.68266135,0.6894501,0.3066587
0.81076086,0.8129607,0.3485576
0.66396785,0.68476737,0.32658142
0.7542389,0.7736339,0.32255638
0.84591484,0.70007753,0.20778584
0.67212945,0.7019531,0.38280457
0.8099615,0.81772727,0.36850822
0.7338649,0.77463216,0.4005646
0.84562373,0.8551509,0.29463083
0.682549,0.6917281,0.36354214
0.73709446,0.8856184,0.44178355
0.587783,0.6715332,0.28691292
0.6916157,0.7749959,0.35200214
0.62894577,0.63742924,0.38243228
0.8445382,0.6914362,0.33358318
0.86957115,0.7457357,0.39701104
0.724281,0.6741609,0.3505469
0.66015434,0.63545203,0.33298004
0.49067512,0.50362206,0.29650486
0.8178945,0.68602276,0.28194427
0.7254148,0.80189997,0.28161472
0.80841655,0.6436859,0.3269003
0.8646097,0.823773,0.3551396
0.85284543,0.7826527,0.34010202
0.7256082,0.69365656,0.33348227
0.7140809,0.7538199,0.35797983
0.62208456,0.78945804,0.32149333
0.8118837,0.80456597,0.31914592
0.9119434,0.7724082,0.36982095
0.75669676,0.7285763,0.3935662
0.56444687,0.65219796,0.34113997
0.84171915,0.7403916,0.31510818
0.53839725,0.508711,0.37405568
0.76441246,0.85445994,0.29380643
0.73187596,0.81466967,0.31113976
0.48962575,0.5680051,0.31557107
0.5479283,0.5724484,0.30266368
0.7841027,0.88485557,0.25788224
0.94060755,0.85694516,0.2627738
0.72237325,0.7992473,0.42702442
0.7377196,0.822285,0.29639077
0.57874244,0.82543296,0.44671625
0.84361786,0.817685,0.36521906
0.66731966,0.717645,0.37552023
0.60873544,0.56825006,0.26967287
0.5167373,0.48700044,0.3197574
0.85545546,0.7347305,0.37676072
0.5596919,0.5374224,0.3383165
0.89357764,0.8300951,0.15490419
0.9032818,0.89743406,0.25139654
0.94378763,0.7707699,0.33060288
0.594753,0.6379096,0.34793848
0.59513223,0.601852,0.34866208
0.91827303,0.8060075,0.2610556
0.5634848,0.5754797,0.33570278
0.79086715,0.8257656,0.26522064
0.977421,0.92745864,0.256934
0.56863767,0.67429274,0.29025215
0.6273789,0.879903,0.37780493
0.47961515,0.53810734,0.34057307
0.6612649,0.6688782,0.33425814
0.9411882,0.8552428,0.25879484
0.6916073,0.8112446,0.37305778
0.84677386,0.75166976,0.31455654
0.5842672,0.5242863,0.44639528
0.8241411,0.71943,0.30473393
0.7551477,0.8569021,0.29737824
0.72617906,0.7943277,0.24436414
0.731258,0.77838373,0.24190795
0.92489314,0.84714067,0.310013
0.65321743,0.64380646,0.32375807
0.90559685,0.7945925,0.28334612
0.91310567,0.8093649,0.3102898
0.6526078,0.7233324,0.3289122
0.56793886,0.55038744,0.31057358
0.6887809,0.7821486,0.38938218
0.7558242,0.8795043,0.26080275
0.7609162,0.7233813,0.3539046
0.8764055,0.83701843,0.1788845
0.7195922,0.73176265,0.29337442
0.66863674,0.7151094,0.3694734
0.49416596,0.47395688,0.43452066
0.7755755,0.83097124,0.4079178
0.764555,0.82141596,0.29900104
0.8349503,0.80395687,0.2515306
0.7444165,0.6781536,0.39642853
0.7589253,0.7645886,0.29433185
0.74095786,0.7621157,0.40159476
0.5218197,0.5526148,0.37701458
0.7561445,0.75213933,0.2975875
0.59441173,0.69773513,0.2770986
0.49478915,0.5640737,0.3095585
0.68789244,0.7018375,0.2918225
0.78539306,0.87529695,0.30630404
0.72266704,0.7904424,0.28948766
0.5273792,0.56453234,0.29281533
0.65060425,0.7487574,0.2982632
0.6701039,0.6619727,0.34667832
0.7071845,0.6956978,0.24441236
0.7445505,0.7714455,0.32966077
0.8616878,0.61657447,0.32280135
0.5191485,0.6053841,0.32947236
0.8553736,0.81105226,0.34683794
0.63526666,0.6507833,0.30350715
0.8296302,0.70281094,0.3687566
0.48394543,0.473123,0.29282224
0.7467613,0.7300986,0.35903144
0.7013635,0.7347123,0.37805647
0.67020726,0.7258706,0.30408955
0.7323566,0.7916092,0.27956617
0.7294066,0.8599358,0.298626
0.49283844,0.4987244,0.44045836
0.8184384,0.7467158,0.4106053
0.7880696,0.8197716,0.28957516
0.64252,0.64846486,0.38984698
0.763062,0.68357706,0.28298926
0.90234786,0.77407324,0.27285284
0.8234437,0.6995415,0.26905668
0.66609925,0.6770744,0.41449505
0.57867426,0.60562277,0.3455391
0.852642,0.91891104,0.2505244
0.6988215,0.734841,0.3258021
0.65138394,0.88730955,0.29616916
0.633504,0.77731717,0.363213
0.70849264,0.7555571,0.40038127
0.74298537,0.67443234,0.2307815
0.6539688,0.661722,0.29208958
0.82463557,0.867055,0.25435066
0.7199595,0.79862094,0.30380493
0.7382848,0.8153934,0.38217717
0.86809033,0.6866404,0.4341517
0.92649424,0.7006405,0.40496892
0.59956276,0.673397,0.32484984
0.50576353,0.48251858,0.19660401
