smiles,pchembl_value,pred
COC(C)COc1ccc(N2CCN(CCn3ncc4c3nc(N)n3nc(-c5ccco5)nc43)CC2)cc1,8.8,7.698007388370373
Nc1nc(-c2cccs2)c2c(n1)-c1ccccc1C2=O,9.22,6.974782450244026
Cc1noc(-c2sc(NC(=O)CC(C)C)nc2-c2ccccc2)n1,7.32,6.6896254301361555
COCCOc1ccc(N2CCN(CCn3cnc4c3nc(N)n3nc(-c5ccccc5)nc43)CC2)cc1,8.43,7.115103104697154
CCn1c(-c2ccccc2)nc2c(NC3CCCC3)ncnc21,6.48,6.293272659333402
c1ccc(-c2nc(-c3ccccc3)c3nc(C4CCCCC4)nc-3[nH]2)cc1,6.93,6.515158701454607
Nc1nc(-c2ccco2)c2nnn(Cc3ccc4[nH]ncc4c3)c2n1,8.07,7.425950512919025
CCCC(=O)Nc1nc(-c2ccccc2)n[nH]1,5.96,6.426585514015943
Nc1nc(-c2ncco2)nc2sc(CN3CC=CCC3)cc12,6.62,6.917079066498938
Nc1nc(-c2ccco2)c2nnn(CC3CCCCC3)c2n1,8.07,7.287514366175079
CCNC(=O)[C@H]1O[C@@H](n2cnc3c(NCC)nc(C#C[C@H](C)O)nc32)[C@H](O)[C@@H]1O,6.11,6.3044082945498845
Cn1c(=O)n(CCN2CCN(c3ccc(OC(F)F)cc3)CC2)c2nc(N)n3nc(-c4ccco4)nc3c21,9.145,7.434484034130885
COc1cccc2c(C(=O)NCc3cccc(C(C)C)n3)nc(N)nc12,9.7,7.067836792443001
CN(C)c1nc(-c2ccco2)c(C(=O)c2ccccc2)s1,5.17,6.894898023536143
CCNC(=O)[C@H]1O[C@@H](n2cnc3c(NCC(c4ccccc4)c4ccccc4)nc(NCCc4ccccc4)nc32)[C@H](O)[C@@H]1O,7.18,6.64156335731642
CCCn1c(=O)c2nc([C@H]3CC[C@H](NC(=O)OCc4ccccc4)CC3)[nH]c2n(CCC)c1=O,5.53,6.4899678368139515
Nc1nc(-c2ccco2)c2ncn(Cc3cccc(C(=O)O)c3)c2n1,5.39,7.279294657909672
O=C(O)c1cnc(NCC2CCCCC2)n2nc(-c3ccco3)nc12,4.47,6.936427356948613
CCCn1c(=O)c2[nH]c(-c3ccc(OCC(=O)Nc4ccc(OC(F)(F)F)cc4)cc3)cc2n(CCC)c1=O,6.97,6.790772173857688
Nc1nc(-c2ccc(C(F)F)o2)nc2sc(CN3CCC(F)CC3)cc12,7.38,7.054437959325905
CC(C)CCn1cc2c(nc(NC(=O)Cc3ccc(-c4ccccc4)cc3)n3nc(-c4ccco4)nc23)n1,8.04,7.077513893886868
CCn1c(=O)n(C)c(=O)c2[nH]cnc21,5.33,6.363399291196023
Nc1nc2nn(CCc3cccc4ccccc34)cc2c2nc(-c3ccco3)nn12,6.05,7.2946307199719715
Cc1ccc(-c2nc(N)c3cc(-c4ccccc4)sc3n2)o1,7.17,7.0468412164440455
CCC(=O)Nc1cc(-c2ccco2)nc(-c2ccco2)n1,8.19,7.155079792783198
COCCCn1c(NC(=O)c2cccc(C#N)c2)nc2cc(C(=O)N3CCCC[C@H]3C)cnc21,8.11,6.7954080540015385
Nc1cc(-c2ccc3c(c2)OCO3)nc(-c2ccccc2)n1,6.25,6.738390848168278
Cn1cc2c(nc(NC(=O)Cc3ccc4ccccc4c3)n3nc(-c4ccco4)nc23)n1,7.11,6.99242637539763
Nc1nc2c(cnn2CCCc2ccc(OCC(=O)O)cc2)c2nc(-c3ccco3)nn12,7.99,7.560565661315616
CCCn1c(=O)c2nc(-c3ccc(OCC(=O)N(Cc4ccccc4)Cc4ccccc4)cc3)[nH]c2n(CCC)c1=O,6.19,6.535162503267702
Nc1nc(-c2ccccc2)nc2sc(-c3ccccc3)cc12,6.68,6.7233328661131795
CNc1ccc(Cn2nnc3c(-c4ccco4)nc(N)nc32)cc1,8.8,7.388097339883378
Cc1cc(OCC(=O)Nc2cc(-n3nc(C)cc3C)nc(-c3ccc(C)o3)n2)cc(C)n1,9.15,7.347038511386634
CC(C)(C)OC(=O)N1[C@H]2CC[C@H]1[C@H](Nc1ncnc3c1ncn3[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O)C2,4.46,6.180612220765142
Cn1c(=O)c2nc(-c3cnn(Cc4cccc(C(F)(F)F)c4)c3)[nH]c2n(C)c1=O,6.16,6.532991896362087
Cn1c(=O)c2[nH]c(-c3ccc(OCC(=O)N4CCN(c5ccc(O)cc5)CC4)cc3)cc2n(C)c1=O,6.21,6.520744590245593
Nc1nc(-c2ccco2)c2cn[nH]c2n1,7.32,7.16338458960885
COCCCn1c(NC(=O)c2ccc(C#N)cc2)nc2cc(C(=O)NCc3cccc(OC)c3)ccc21,5.78,6.764135553228978
CSCCn1c(=O)c2[nH]c(Cc3cccs3)nc2n(Cc2ccco2)c1=O,5.68,6.672951592259804
CNc1nc(C#C[C@@H](O)c2ccccc2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,6.79,6.228783743480723
NCC1CCC(CNc2nc(N)n3nc(-c4ccco4)nc3n2)CC1.O=C(O)C(F)(F)F,7.77,7.084330371109746
O[C@@H]1[C@@H](CCl)O[C@@H](n2cnc3c(NC4CC5CCC4C5)nc(Cl)nc32)[C@@H]1O,5.69,6.080848649427024
CC(C)(C)OC(=O)N1CCN(c2cccc(-c3cc4nc(-c5ccco5)nn4c(N)n3)c2)CC1,9.3,7.261604169886499
CC(=O)Nc1cc(-c2cccc(O)c2)nc(-n2nc(C)cc2C)n1,8.7,7.088543313749367
Nc1nc(-c2ccc(Cl)o2)nc2sc(CN3CCCC(F)(F)C3)cc12,8.04,7.004948944044328
Cn1c(=O)c2nn(C3CCCC3)nc2n(C)c1=O,4.24,6.165408933408202
O=C(Cc1ccccc1)Nc1nn2c(-c3ccco3)nnc2s1,5.29,6.861123701910889
Cn1c(=O)n(CCN2CCN(c3ccc(OC4CC4)cc3)CC2)c2nc(N)n3nc(-c4ccco4)nc3c21,9.56,7.3911465369064455
CCOC(=O)c1c(NC(=O)c2sc(Nc3ccc(C)cc3)nc2N(C)C)sc(C(=O)OC)c1C,4.58,6.612724335368822
CCCn1cnc2c(NCc3ccccc3)ncnc21,4.65,6.240579157898161
CCCn1c(=O)c2[nH]c(-c3cnn(-c4ccccn4)c3)nc2n(CC)c1=O,6.39,6.490412289128308
Nc1nc2c(cnn2CCN2CCc3nc(C(F)(F)F)ccc3C2)c2nc(-c3ccco3)nn12,8.3,7.5477801060919605
COc1cc(-c2nc3c([nH]2)c(=O)n(C)c(=O)n3C)ccc1OCCN1CCCC1,6.0,6.526443194022114
COc1ccc(-n2ccnc2SCC(=O)c2c(N)n(C3CC3)c(=O)[nH]c2=O)cc1,4.6,6.5895713577052675
COCCNc1nc2nn(C)cc2c2nc(-c3ccco3)nn12,6.39,6.887490090027166
Cc1ccc(-c2nn3c(N)nc4ccccc4n3c2=O)cc1,7.3,6.686303478828234
O=c1oc2c(O)c(O)ccc2cc1-c1cccs1,5.0,6.601736799067967
O=C(NCc1ccccc1)c1cnc2nc(Br)ccc2c1O,5.45,6.54680877698136
C=CCn1c(=O)c2[nH]c(Cc3cccs3)nc2n(Cc2ccco2)c1=O,5.84,6.6885592902005655
N#Cc1c(N)nc(-n2cccn2)nc1-n1cccn1,8.15,6.755749206450735
CCNC(=O)[C@H]1O[C@@H](n2cnc3c(NCC(c4ccccc4)c4ccccc4)nc(C(=O)NCCNC(=O)NCCc4ccccc4)nc32)[C@H](O)[C@@H]1O,8.0,6.706804012853736
COc1ccccc1-c1cc(C(=O)NCc2ccccn2)nc(N)n1,7.24,7.082305976857941
O=C(Nc1ccc(F)cc1)Nc1ccc(Nc2nc(-c3ccccc3)nc3c2nnn3Cc2ccccc2)cc1,5.526666666666666,6.611873013447765
CCCCc1nc2[nH]cnc2c2nc(-c3ccccc3Cl)nn12,7.75,6.5924763610210775
CNc1nc(-c2ccco2)c2sccc2n1,7.4,6.964749479992814
CCn1nnc([C@H]2O[C@@H](n3cnc4c(N)ncnc43)[C@H](O)[C@@H]2O)n1,8.36,6.71205424832367
Nc1ccc(N)c2c1C(=O)c1ccccc1C2=O,6.5,6.555025401982408
O=C(O)c1cnc(NCc2ccc(F)cc2)n2nc(-c3ccco3)nc12,5.19,7.091569967898371
CCc1ccc(-c2nc(N)c3cc(CN4CCOCC4)sc3n2)o1,7.1,7.122947697556398
CCCn1c(=O)c2c(nc(/C=C/c3ccc(OC)c(OC)c3)n2C)n(CCC)c1=O,8.075,6.51018458938284
Cn1cc2c(nc(NC3CCC3)n3nc(-c4ccco4)nc23)n1,7.08,6.7444819170868495
Nc1nc(C(=O)NCc2cccc3[nH]cnc23)c2cccc(F)c2n1,7.6,7.0825045455680335
COc1cc(OCC(=O)N2CCc3ccccc3C2)ccc1-c1cc2c([nH]1)c(=O)n(C)c(=O)n2C,4.92,6.572209698806761
