smiles	token
Nc1nc(NCC2CCCN2Cc2c(Cl)cncc2Cl)cc2nc(-c3ccco3)nn12	N c 1 n c ( N C C 2 C C C N 2 C c 2 c ( L ) c n c c 2 L ) c c 2 n c ( - c 3 c c c o 3 ) n n 1 2
CC(C)(C)CCN1CCC(CNC(=O)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)CC1	C C ( C ) ( C ) C C N 1 C C C ( C N C ( = O ) c 2 c c ( C ( F ) ( F ) F ) c c ( C ( F ) ( F ) F ) c 2 ) C C 1
CCCn1c(=O)c2[nH]c(-c3cc(C)n(CC(=O)Nc4ccc(F)cc4)n3)nc2n(CCC)c1=O	C C C n 1 c ( = O ) c 2 [nH] c ( - c 3 c c ( C ) n ( C C ( = O ) N c 4 c c c ( F ) c c 4 ) n 3 ) n c 2 n ( C C C ) c 1 = O
Nc1scc(CN2CCN(C3CCCCC3)CC2)c1C(=O)c1ccc(Cl)cc1	N c 1 s c c ( C N 2 C C N ( C 3 C C C C C 3 ) C C 2 ) c 1 C ( = O ) c 1 c c c ( L ) c c 1
CCN1CCN(c2c(C(=O)c3ccccc3)cnc3cc(OC)c(OC)cc23)CC1	C C N 1 C C N ( c 2 c ( C ( = O ) c 3 c c c c c 3 ) c n c 3 c c ( O C ) c ( O C ) c c 2 3 ) C C 1
Cc1nc2c(Cl)cccc2c(=O)n1-c1ccc(OC2CCN(C3CCC3)CC2)cc1	C c 1 n c 2 c ( L ) c c c c 2 c ( = O ) n 1 - c 1 c c c ( O C 2 C C N ( C 3 C C C 3 ) C C 2 ) c c 1
CC1OC(OC2CC(O)C3(CO)C4C(O)CC5(C)C(C6=CC(=O)OC6)CCC5(O)C4CCC3(O)C2)C(O)C(O)C1O	C C 1 O C ( O C 2 C C ( O ) C 3 ( C O ) C 4 C ( O ) C C 5 ( C ) C ( C 6 = C C ( = O ) O C 6 ) C C C 5 ( O ) C 4 C C C 3 ( O ) C 2 ) C ( O ) C ( O ) C 1 O
O=C(C(O)C1CC1)N1CC(c2cc(F)ccc2F)=CC1c1cccc(O)c1	O = C ( C ( O ) C 1 C C 1 ) N 1 C C ( c 2 c c ( F ) c c c 2 F ) = C C 1 c 1 c c c c ( O ) c 1
CS(=O)(=O)c1cc(Cl)cc(Cn2cc(Cl)cc(C(N)=O)c2=N)c1	C S ( = O ) ( = O ) c 1 c c ( L ) c c ( C n 2 c c ( L ) c c ( C ( N ) = O ) c 2 = N ) c 1
Nc1ncc(-c2ccc(C(F)(F)F)cc2)c(-c2ccccc2)n1	N c 1 n c c ( - c 2 c c c ( C ( F ) ( F ) F ) c c 2 ) c ( - c 2 c c c c c 2 ) n 1
CCCCCc1ccc(C#Cc2nc(NOC)c3ncn(C4OC(CO)C(O)C4O)c3n2)cc1	C C C C C c 1 c c c ( C # C c 2 n c ( N O C ) c 3 n c n ( C 4 O C ( C O ) C ( O ) C 4 O ) c 3 n 2 ) c c 1
CC(C)(C)NC1=NCCNC(c2ccccc2F)=C1	C C ( C ) ( C ) N C 1 = N C C N C ( c 2 c c c c c 2 F ) = C 1
CNC(=O)C1OC(n2cnc3c(NC)nc(Cl)nc32)C(O)C1O	C N C ( = O ) C 1 O C ( n 2 c n c 3 c ( N C ) n c ( L ) n c 3 2 ) C ( O ) C 1 O
CC1(C(=O)O)CCC(C)(c2nc(-c3ccc(C(=O)Nc4cc(C(F)(F)F)ccn4)cc3)c3c(N)nccn23)C1	C C 1 ( C ( = O ) O ) C C C ( C ) ( c 2 n c ( - c 3 c c c ( C ( = O ) N c 4 c c ( C ( F ) ( F ) F ) c c n 4 ) c c 3 ) c 3 c ( N ) n c c n 2 3 ) C 1
C[N+](C)(C)CCO	C [N+] ( C ) ( C ) C C O
CC(C)NC(=O)C1CC(NC(=O)c2ccccc2)CN1C(=O)CN	C C ( C ) N C ( = O ) C 1 C C ( N C ( = O ) c 2 c c c c c 2 ) C N 1 C ( = O ) C N
CCOc1cccc(C(=O)Nc2ccc(-c3nc4ccccc4[nH]3)cc2)c1	C C O c 1 c c c c ( C ( = O ) N c 2 c c c ( - c 3 n c 4 c c c c c 4 [nH] 3 ) c c 2 ) c 1
CCNC(=O)C1SC(n2cnc3c(NCc4cccc(I)c4)nc(Cl)nc32)C(O)C1O	C C N C ( = O ) C 1 S C ( n 2 c n c 3 c ( N C c 4 c c c c ( I ) c 4 ) n c ( L ) n c 3 2 ) C ( O ) C 1 O
O=c1c2ncn3nc(-c4ccccc4)cc3c2c(C2CCCC2)nn1Cc1ccccc1	O = c 1 c 2 n c n 3 n c ( - c 4 c c c c c 4 ) c c 3 c 2 c ( C 2 C C C C 2 ) n n 1 C c 1 c c c c c 1
O=C1c2cc(C#Cc3ccc(C(F)(F)F)cc3)ccc2OCCN1Cc1ncccn1	O = C 1 c 2 c c ( C # C c 3 c c c ( C ( F ) ( F ) F ) c c 3 ) c c c 2 O C C N 1 C c 1 n c c c n 1
CCc1nnc2c(NC(C)C)nc3cc(Cl)c(Cl)cc3n12	C C c 1 n n c 2 c ( N C ( C ) C ) n c 3 c c ( L ) c ( L ) c c 3 n 1 2
CNC(=O)C1CCCC1n1cnc2c(NCc3ccccc3)ncnc21	C N C ( = O ) C 1 C C C C 1 n 1 c n c 2 c ( N C c 3 c c c c c 3 ) n c n c 2 1
O=C(Nc1nc(-c2ccccc2)c(-c2ncon2)s1)C1CC1	O = C ( N c 1 n c ( - c 2 c c c c c 2 ) c ( - c 2 n c o n 2 ) s 1 ) C 1 C C 1
CCCn1c(=O)c2c(nc3ccccn32)n(Cc2cccc(C)c2)c1=O	C C C n 1 c ( = O ) c 2 c ( n c 3 c c c c n 3 2 ) n ( C c 2 c c c c ( C ) c 2 ) c 1 = O
COc1ccc2nccc(C(O)CCC3CCN(CCSc4ccco4)CC3C(=O)O)c2c1	C O c 1 c c c 2 n c c c ( C ( O ) C C C 3 C C N ( C C S c 4 c c c o 4 ) C C 3 C ( = O ) O ) c 2 c 1
O=c1oc2c(O)cccc2cc1-c1ccsc1	O = c 1 o c 2 c ( O ) c c c c 2 c c 1 - c 1 c c s c 1
O=S(=O)(c1cccc(F)c1)c1ccc2c3c(oc2c1)C1(CCOCC1)NCC3	O = S ( = O ) ( c 1 c c c c ( F ) c 1 ) c 1 c c c 2 c 3 c ( o c 2 c 1 ) C 1 ( C C O C C 1 ) N C C 3
C#CCn1c(=O)[nH]c2[nH]c(-c3ccccc3)nc2c1=O	C # C C n 1 c ( = O ) [nH] c 2 [nH] c ( - c 3 c c c c c 3 ) n c 2 c 1 = O
COC1=C(Br)C(O)C2(C=C1Br)CC(C(=O)NCCCOc1c(Br)cc(CCNS(=O)(=O)O)cc1Br)=NO2	C O C 1 = C ( R ) C ( O ) C 2 ( C = C 1 R ) C C ( C ( = O ) N C C C O c 1 c ( R ) c c ( C C N S ( = O ) ( = O ) O ) c c 1 R ) = N O 2
COc1cc(NC(C)CCCN)c2ncccc2c1	C O c 1 c c ( N C ( C ) C C C N ) c 2 n c c c c 2 c 1
CCCCCCS(=O)(=O)c1cc(C)c(C(=O)CCN2CCNC(=O)C2)c(C)c1	C C C C C C S ( = O ) ( = O ) c 1 c c ( C ) c ( C ( = O ) C C N 2 C C N C ( = O ) C 2 ) c ( C ) c 1
Cc1ccc2c(c1)CC(CCN(C)C)=C2Cc1cnccn1	C c 1 c c c 2 c ( c 1 ) C C ( C C N ( C ) C ) = C 2 C c 1 c n c c n 1
C#CCCCC#Cc1nc(NCc2cccc(Cl)c2)c2ncn(C3C(O)C(O)C4(C(=O)NC)CC34)c2n1	C # C C C C C # C c 1 n c ( N C c 2 c c c c ( L ) c 2 ) c 2 n c n ( C 3 C ( O ) C ( O ) C 4 ( C ( = O ) N C ) C C 3 4 ) c 2 n 1
O=C(CC1CCN(Cc2ccn(-c3ccc(C(F)(F)F)cc3)c2)CC1)N(CCCO)Cc1ccc(F)cc1	O = C ( C C 1 C C N ( C c 2 c c n ( - c 3 c c c ( C ( F ) ( F ) F ) c c 3 ) c 2 ) C C 1 ) N ( C C C O ) C c 1 c c c ( F ) c c 1
Clc1ccc(C2CC=CCNC2)cc1Cl	L c 1 c c c ( C 2 C C = C C N C 2 ) c c 1 L
O=C(NC1COc2cccc(-c3ccncc3)c2C1)c1ccc(OC(F)(F)F)cc1	O = C ( N C 1 C O c 2 c c c c ( - c 3 c c n c c 3 ) c 2 C 1 ) c 1 c c c ( O C ( F ) ( F ) F ) c c 1
CC(=O)NCC(=O)N1CC(NC(=O)c2ccccc2)CC1C(=O)O	C C ( = O ) N C C ( = O ) N 1 C C ( N C ( = O ) c 2 c c c c c 2 ) C C 1 C ( = O ) O
CCCn1c(=O)c2nc(-c3ccc(OCC(=O)NCCc4c[nH]cn4)cc3O)[nH]c2n(CCC)c1=O	C C C n 1 c ( = O ) c 2 n c ( - c 3 c c c ( O C C ( = O ) N C C c 4 c [nH] c n 4 ) c c 3 O ) [nH] c 2 n ( C C C ) c 1 = O
CCCn1c(=O)c2nc(-c3cnn(Cc4ccc(F)c(C(F)(F)F)c4)c3)[nH]c2n(CCC)c1=O	C C C n 1 c ( = O ) c 2 n c ( - c 3 c n n ( C c 4 c c c ( F ) c ( C ( F ) ( F ) F ) c 4 ) c 3 ) [nH] c 2 n ( C C C ) c 1 = O
C=CCn1c(=O)c2c(ncn2C)n(C)c1=O	C = C C n 1 c ( = O ) c 2 c ( n c n 2 C ) n ( C ) c 1 = O
Cc1nc(C(NC(=O)c2ccc(-c3ccc(Cl)cc3)[nH]2)C2CCCCN2)sc1CO	C c 1 n c ( C ( N C ( = O ) c 2 c c c ( - c 3 c c c ( L ) c c 3 ) [nH] 2 ) C 2 C C C C N 2 ) s c 1 C O
N#Cc1c(N)nc(SCC(=O)NCO)c(C#N)c1-c1ccc(OCC2CC2)cc1	N # C c 1 c ( N ) n c ( S C C ( = O ) N C O ) c ( C # N ) c 1 - c 1 c c c ( O C C 2 C C 2 ) c c 1
COc1ccc(-c2cc(=O)oc3c4c(ccc23)OCN(Cc2ccc(F)cc2)C4)cc1	C O c 1 c c c ( - c 2 c c ( = O ) o c 3 c 4 c ( c c c 2 3 ) O C N ( C c 2 c c c ( F ) c c 2 ) C 4 ) c c 1
